#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450
        2.88000        21.76818        20.64046        20.35726        20.26896        20.28040        20.03105       -24.93230
        2.89000        21.79904        20.65279        20.36610        20.27793        20.29099        20.04100       -24.93083
        2.90000        21.83010        20.66530        20.37490        20.28704        20.30150        20.05095       -24.92931
        2.91000        21.86133        20.67795        20.38368        20.29622        20.31192        20.06079       -24.92773
        2.92000        21.89271        20.69072        20.39244        20.30551        20.32226        20.07051       -24.92610
        2.93000        21.92415        20.70362        20.40120        20.31503        20.33260        20.08017       -24.92441
        2.94000        21.95550        20.71663        20.40994        20.32478        20.34294        20.08985       -24.92267
        2.95000        21.98679        20.72972        20.41868        20.33476        20.35328        20.09953       -24.92088
        2.96000        22.01794        20.74288        20.42743        20.34505        20.36365        20.10927       -24.91904
        2.97000        22.04901        20.75610        20.43623        20.35569        20.37405        20.11909       -24.91714
        2.98000        22.07990        20.76939        20.44508        20.36652        20.38448        20.12916       -24.91520
        2.99000        22.11082        20.78276        20.45399        20.37678        20.39492        20.13952       -24.91320
        3.00000        99.00000        20.79620        20.46297        20.38602        20.40533        20.15017       -24.91115
        3.01000        99.00000        20.80970        20.47201        20.39463        20.41568        20.16105       -24.90905
        3.02000        99.00000        20.82327        20.48113        20.40281        20.42595        20.17207       -24.90690
        3.03000        99.00000        20.83689        20.49034        20.41068        20.43614        20.18323       -24.90471
        3.04000        99.00000        20.85051        20.49968        20.41843        20.44622        20.19463       -24.90246
        3.05000        99.00000        20.86415        20.50918        20.42631        20.45616        20.20635       -24.90017
        3.06000        99.00000        20.87780        20.51881        20.43447        20.46594        20.21826       -24.89783
        3.07000        99.00000        20.89144        20.52853        20.44301        20.47558        20.23032       -24.89544
        3.08000        99.00000        20.90507        20.53835        20.45183        20.48510        20.24251       -24.89300
        3.09000        99.00000        20.91871        20.54830        20.46080        20.49451        20.25481       -24.89052
        3.10000        99.00000        20.93238        20.55837        20.46978        20.50383        20.26721       -24.88799
        3.11000        99.00000        20.94612        20.56855        20.47861        20.51305        20.27967       -24.88541
        3.12000        99.00000        20.95991        20.57882        20.48733        20.52214        20.29216       -24.88279
        3.13000        99.00000        20.97378        20.58917        20.49599        20.53111        20.30466       -24.88013
        3.14000        99.00000        20.98774        20.59960        20.50466        20.53994        20.31722       -24.87741
        3.15000        99.00000        21.00179        20.61013        20.51339        20.54864        20.32979       -24.87466
        3.16000        99.00000        21.01591        20.62075        20.52220        20.55720        20.34240       -24.87186
        3.17000        99.00000        21.03010        20.63151        20.53118        20.56562        20.35506       -24.86901
        3.18000        99.00000        21.04437        20.64240        20.54034        20.57387        20.36781       -24.86613
        3.19000        99.00000        21.05871        20.65341        20.54968        20.58182        20.38059       -24.86320
        3.20000        99.00000        21.07314        20.66449        20.55921        20.58936        20.39330       -24.86023
        3.21000        99.00000        21.08765        20.67561        20.56906        20.59641        20.40591       -24.85721
        3.22000        99.00000        21.10224        20.68677        20.57927        20.60289        20.41842       -24.85415
        3.23000        99.00000        21.11693        20.69796        20.59003        20.60879        20.43089       -24.85105
        3.24000        99.00000        21.13175        20.70916        20.60134        20.61415        20.44339       -24.84791
        3.25000        99.00000        21.14670        20.72035        20.61321        20.61905        20.45587       -24.84473
        3.26000        99.00000        21.16182        20.73152        20.62542        20.62359        20.46835       -24.84151
        3.27000        99.00000        21.17713        20.74265        20.63786        20.62784        20.48078       -24.83825
