#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_B	M_i
        2.62000        19.54417        19.55318        19.29682        19.13099        19.54271        18.00804       -25.42080       -26.29215
        2.63000        19.55856        19.56686        19.30915        19.14337        19.55607        18.02031       -25.41589       -26.28724
        2.64000        19.57300        19.58061        19.32155        19.15581        19.56950        18.03265       -25.41088       -26.28223
        2.65000        19.58749        19.59445        19.33402        19.16831        19.58299        18.04505       -25.40577       -26.27711
        2.66000        19.60204        19.60837        19.34657        19.18088        19.59654        18.05752       -25.40056       -26.27190
        2.67000        19.61664        19.62238        19.35918        19.19350        19.61014        18.07005       -25.39525       -26.26660
        2.68000        19.63130        19.63647        19.37186        19.20619        19.62380        18.08265       -25.38984       -26.26119
        2.69000        19.64601        19.65064        19.38462        19.21894        19.63751        18.09532       -25.38434       -26.25569
        2.70000        19.66077        19.66489        19.39745        19.23175        19.65127        18.10806       -25.37874       -26.25009
        2.71000        19.67559        19.67922        19.41035        19.24462        19.66509        18.12086       -25.37304       -26.24439
        2.72000        19.69046        19.69364        19.42333        19.25754        19.67895        18.13373       -25.36725       -26.23860
        2.73000        19.70538        19.70813        19.43637        19.27052        19.69285        18.14667       -25.36137       -26.23271
        2.74000        19.72036        19.72271        19.44949        19.28355        19.70680        18.15967       -25.35538       -26.22673
        2.75000        19.73539        19.73737        19.46269        19.29663        19.72079        18.17274       -25.34931       -26.22066
        2.76000        19.75047        19.75210        19.47595        19.30977        19.73482        18.18588       -25.34314       -26.21449
        2.77000        19.76560        19.76692        19.48929        19.32296        19.74889        18.19908       -25.33688       -26.20822
        2.78000        19.78079        19.78182        19.50270        19.33621        19.76300        18.21236       -25.33052       -26.20187
        2.79000        19.79603        19.79679        19.51618        19.34952        19.77715        18.22569       -25.32407       -26.19542
        2.80000        19.81131        19.81184        19.52973        19.36288        19.79135        18.23910       -25.31753       -26.18888
        2.81000        19.82665        19.82696        19.54335        19.37629        19.80558        18.25257       -25.31090       -26.18224
        2.82000        19.84204        19.84217        19.55704        19.38977        19.81985        18.26610       -25.30417       -26.17552
        2.83000        19.85748        19.85744        19.57079        19.40330        19.83417        18.27970       -25.29735       -26.16870
        2.84000        19.87298        19.87280        19.58462        19.41690        19.84853        18.29336       -25.29045       -26.16180
        2.85000        19.88852        19.88822        19.59851        19.43054        19.86293        18.30709       -25.28345       -26.15480
        2.86000        19.90411        19.90372        19.61247        19.44424        19.87738        18.32088       -25.27637       -26.14771
