#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        2.01000        19.94966        19.86925        19.75740        19.59070        19.42928        19.40342       -24.78539       -26.16907
        2.02000        19.95621        19.87561        19.76275        19.59808        19.43278        19.41017       -24.79104       -26.17472
        2.03000        19.96320        19.88194        19.76807        19.60544        19.43677        19.41712       -24.79657       -26.18026
        2.04000        19.97077        19.88824        19.77338        19.61283        19.44123        19.42403       -24.80199       -26.18568
        2.05000        19.97899        19.89452        19.77868        19.62025        19.44615        19.43077       -24.80730       -26.19098
        2.06000        19.98803        19.90078        19.78396        19.62772        19.45147        19.43723       -24.81249       -26.19617
        2.07000        19.99805        19.90704        19.78924        19.63532        19.45716        19.44326       -24.81757       -26.20125
        2.08000        20.00911        19.91331        19.79450        19.64319        19.46320        19.44880       -24.82254       -26.20622
        2.09000        20.02134        19.91960        19.79974        19.65116        19.46964        19.45405       -24.82740       -26.21108
        2.10000        20.03491        19.92588        19.80493        19.65922        19.47652        19.45930       -24.83215       -26.21583
        2.11000        20.05002        19.93213        19.81008        19.66757        19.48373        19.46463       -24.83679       -26.22047
        2.12000        20.06695        19.93830        19.81521        19.67620        19.49114        19.47001       -24.84132       -26.22500
        2.13000        20.08602        19.94435        19.82038        19.68494        19.49863        19.47546       -24.84574       -26.22943
        2.14000        20.10725        19.95027        19.82559        19.69387        19.50608        19.48100       -24.85006       -26.23375
        2.15000        20.13070        19.95602        19.83084        19.70257        19.51352        19.48671       -24.85428       -26.23796
        2.16000        20.15652        19.96157        19.83615        19.71117        19.52100        19.49260       -24.85839       -26.24207
        2.17000        20.18438        19.96685        19.84150        19.71983        19.52857        19.49848       -24.86240       -26.24608
        2.18000        20.21399        19.97180        19.84691        19.72869        19.53641        19.50414       -24.86631       -26.24999
        2.19000        20.24516        19.97637        19.85240        19.73772        19.54472        19.50937       -24.87011       -26.25379
        2.20000        20.27770        19.98060        19.85801        19.74684        19.55353        19.51408       -24.87382       -26.25750
        2.21000        20.31153        19.98452        19.86371        19.75611        19.56243        19.51827       -24.87743       -26.26111
        2.22000        20.34656        19.98812        19.86952        19.76546        19.57111        19.52202       -24.88093       -26.26461
        2.23000        20.38262        19.99139        19.87543        19.77492        19.57998        19.52504       -24.88434       -26.26802
        2.24000        20.41962        19.99443        19.88145        19.78445        19.58971        19.52688       -24.88766       -26.27134
        2.25000        20.45729        19.99733        19.88760        19.79406        19.60047        19.52726       -24.89088       -26.27456
        2.26000        20.49536        20.00016        19.89384        19.80375        19.61228        19.52593       -24.89400       -26.27768
        2.27000        20.53361        20.00298        19.90018        19.81338        19.62495        19.52313       -24.89703       -26.28071
        2.28000        20.57184        20.00585        19.90660        19.82265        19.63810        19.51945       -24.89996       -26.28364
        2.29000        20.60964        20.00883        19.91309        19.83164        19.65159        19.51576       -24.90281       -26.28649
        2.30000        20.64644        20.01195        19.91958        19.84060        19.66541        19.51297       -24.90556       -26.28924
        2.31000        20.68179        20.01527        19.92606        19.84955        19.67934        19.51211       -24.90822       -26.29190
        2.32000        20.71502        20.01884        19.93251        19.85847        19.69308        19.51392       -24.91079       -26.29447
        2.33000        20.74551        20.02271        19.93889        19.86738        19.70607        19.51749       -24.91327       -26.29695
        2.34000        20.77345        20.02694        19.94521        19.87636        19.71788        19.52060       -24.91566       -26.29934
        2.35000        20.79894        20.03154        19.95147        19.88532        19.72851        19.52283       -24.91797       -26.30165
        2.36000        20.82170        20.03657        19.95769        19.89437        19.73828        19.52606       -24.92019       -26.30387
        2.37000        20.84144        20.04204        19.96388        19.90343        19.74741        19.53111       -24.92232       -26.30600
        2.38000        20.85880        20.04798        19.97006        19.91253        19.75613        19.53695       -24.92436       -26.30804
        2.39000        20.87446        20.05444        19.97622        19.92167        19.76462        19.54302       -24.92632       -26.31001
        2.40000        20.88889        20.06151        19.98236        19.93090        19.77295        19.54946       -24.92820       -26.31188
        2.41000        20.90244        20.06916        19.98849        19.94024        19.78111        19.55624       -24.93000       -26.31368
        2.42000        20.91541        20.07737        19.99461        19.94967        19.78917        19.56333       -24.93171       -26.31539
        2.43000        20.92791        20.08616        20.00070        19.95899        19.79712        19.57073       -24.93334       -26.31702
        2.44000        20.94002        20.09545        20.00676        19.96824        19.80500        19.57832       -24.93489       -26.31857
        2.45000        20.95183        20.10517        20.01275        19.97736        19.81287        19.58621       -24.93635       -26.32003
        2.46000        20.96339        20.11531        20.01863        19.98650        19.82074        19.59465       -24.93774       -26.32142
        2.47000        20.97488        20.12592        20.02433        19.99576        19.82866        19.60398       -24.93905       -26.32273
        2.48000        20.98622        20.13704        20.02979        20.00507        19.83665        19.61390       -24.94028       -26.32396
        2.49000        20.99738        20.14871        20.03502        20.01436        19.84472        19.62385       -24.94143       -26.32512
        2.50000        21.00852        20.16092        20.04001        20.02355        19.85292        19.63361       -24.94251       -26.32619
        2.51000        21.01973        20.17365        20.04478        20.03252        19.86125        19.64336       -24.94351       -26.32719
        2.52000        21.03106        20.18683        20.04940        20.04116        19.86977        19.65345       -24.94443       -26.32811
        2.53000        21.04260        20.20038        20.05400        20.04955        19.87851        19.66405       -24.94528       -26.32896
        2.54000        21.05439        20.21423        20.05873        20.05759        19.88747        19.67502       -24.94606       -26.32974
        2.55000        21.06647        20.22832        20.06377        20.06514        19.89666        19.68613       -24.94676       -26.33044
        2.56000        21.07886        20.24260        20.06925        20.07210        19.90609        19.69729       -24.94738       -26.33107
        2.57000        21.09160        20.25703        20.07521        20.07838        19.91580        19.70848       -24.94794       -26.33162
        2.58000        21.10472        20.27157        20.08169        20.08405        19.92580        19.71967       -24.94842       -26.33210
        2.59000        21.11821        20.28617        20.08867        20.08926        19.93611        19.73090       -24.94883       -26.33251
        2.60000        21.13208        20.30079        20.09605        20.09401        19.94674        19.74210       -24.94917       -26.33285
        2.61000        21.14638        20.31538        20.10364        20.09836        19.95765        19.75327       -24.94944       -26.33313
        2.62000        21.16107        20.32985        20.11145        20.10228        19.96884        19.76436       -24.94964       -26.33333
        2.63000        21.17617        20.34409        20.11960        20.10592        19.98027        19.77540       -24.94978       -26.33346
        2.64000        21.19166        20.35803        20.12816        20.10939        19.99192        19.78642       -24.94984       -26.33352
        2.65000        21.20764        20.37162        20.13716        20.11281        20.00374        19.79741       -24.94984       -26.33352
        2.66000        21.22415        20.38484        20.14662        20.11633        20.01574        19.80837       -24.94977       -26.33345
        2.67000        21.24133        20.39764        20.15649        20.12005        20.02792        19.81929       -24.94963       -26.33331
        2.68000        21.25927        20.41007        20.16661        20.12402        20.04025        19.83018       -24.94942       -26.33311
        2.69000        21.27804        20.42221        20.17681        20.12835        20.05264        19.84100       -24.94915       -26.33284
        2.70000        21.29772        20.43413        20.18697        20.13310        20.06508        19.85175       -24.94882       -26.33250
        2.71000        21.31828        20.44588        20.19698        20.13836        20.07751        19.86244       -24.94842       -26.33210
        2.72000        21.33979        20.45751        20.20684        20.14414        20.08989        19.87304       -24.94796       -26.33164
        2.73000        21.36223        20.46904        20.21657        20.15038        20.10221        19.88353       -24.94743       -26.33111
        2.74000        21.38551        20.48048        20.22622        20.15709        20.11459        19.89389       -24.94684       -26.33053
        2.75000        21.40945        20.49186        20.23583        20.16417        20.12700        19.90409       -24.94619       -26.32987
        2.76000        21.43406        20.50317        20.24541        20.17157        20.13939        19.91413       -24.94548       -26.32916
        2.77000        21.45932        20.51443        20.25499        20.17915        20.15175        19.92403       -24.94471       -26.32839
        2.78000        21.48512        20.52565        20.26455        20.18686        20.16405        19.93377       -24.94387       -26.32755
        2.79000        21.51136        20.53683        20.27408        20.19476        20.17626        19.94333       -24.94298       -26.32666
        2.80000        21.53803        20.54798        20.28359        20.20277        20.18839        19.95279       -24.94202       -26.32571
        2.81000        21.56517        20.55915        20.29306        20.21077        20.20044        19.96234       -24.94101       -26.32469
        2.82000        21.59273        20.57035        20.30249        20.21879        20.21240        19.97205       -24.93994       -26.32362
        2.83000        21.62073        20.58163        20.31186        20.22684        20.22424        19.98185       -24.93881       -26.32249
        2.84000        21.64927        20.59303        20.32115        20.23492        20.23594        19.99168       -24.93762       -26.32130
        2.85000        21.67830        20.60460        20.33034        20.24312        20.24743        20.00161       -24.93637       -26.32006
        2.86000        21.70773        20.61635        20.33940        20.25154        20.25867        20.01149       -24.93507       -26.31875
        2.87000        21.73768        20.62830        20.34837        20.26014        20.26965        20.02129       -24.93371       -26.31740
